,html_url,name,functionality,core functionality,frameworks (others than JUCE),testing,language,SonarQube violations (SCP),"SonarQube quality gate status (passed,failed)",Header files,Compiled library files,Header files or compiled library files,Libraries,Comments,Issues type,Did the developers resolved the issue via a simple commit and push?,Did the developers resolved the issue via a PR?,Did the developers answered the issue?
0,https://github.com/klknn/kdr,kdr,virtual instrument - synthesizer,virtual instrument,,No,D,,Passed,Yes,No,Header files,"std, dplug",Yes,"bug, enhancement",No,No,No
5,https://github.com/hansen-audio/renegate-fx,renegate-fx,effect - gate,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
7,https://github.com/Wasted-Audio/wstd-eq,wstd-eq,effect - eq,effect,dpf,No,C++,,Passed,Yes,No,Header files,,Yes,help wanted,No,No,No
11,https://github.com/AnClark/Minaton-XT,Minaton-XT,virtual instrument - synthesizer,virtual instrument,dpf,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
12,https://github.com/xivilay/scale-remapper,scale-remapper,effect - midi - scaller,effect,,No,C++,,Passed,Yes,No,Header files,,No,enhancement,No,No,No
13,https://github.com/StoneyDSP/Biquads,Biquads,effect - filter for vocal processing ,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,bug,No,Yes,No
14,https://github.com/patriceguyot/ComposeSiren,ComposeSiren,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,Yes
19,https://github.com/azur1s/penare,penare,effect - distortion,effect,,No,Rust,Reliability E ,Passed,Yes,No,Header files,,Yes,,No,No,No
20,https://github.com/eulmour/HandyOsc,HandyOsc,effect - from analog to digital,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
21,https://github.com/psemiletov/drumlabooh,drumlabooh,virtual instrument - drums,virtual instrument,,No,C++,"15.5% Duplications, Reliability E, Security Review E",Failed,Yes,No,Header files,,Yes,,No,No,No
22,https://github.com/thezhe/D-lay,D-lay,effect - distortion delay,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
23,https://github.com/OlliV/DiaPro,DiaPro,effect - processor,effect,,No,C++,,Passed,Yes,Yes,Both,,Yes,"bug, enhacement",No,No,No
24,https://github.com/njazz/cloudseed-juce,cloudseed-juce,effect - reverb,effect,,No,C++,,Passed,No,No,,,No,bug,No,No,No
25,https://github.com/xivilay/chord-recognition,chord-recognition,effect - midi - chord recognition,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
26,https://github.com/SimonZimmer/SEELE,SEELE,effect - heavy vocal processing,effect,,Yes,C++,,Passed,Yes,No,Header files,,No,question,No,No,No
30,https://github.com/wolf-tickets/sound-and-outer-space,sound-and-outer-space,effect - emulate how a sound will sound on another planet,effect,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,No
32,https://github.com/gregormcw/elev8,elev8,effect - binaural spatializer,effect,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,No
33,https://github.com/MeijisIrlnd/Transfer,Transfer,effect - distortion ,effect,,Yes,C++,Reliability B,Passed,Yes,No,Header files,,No,,No,No,No
34,https://github.com/johanLsp/Milion,Milion,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,Yes,Both,,No,,No,No,No
37,https://github.com/essenbee/multifilter,multifilter,effect - multiple audio filters,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
39,https://github.com/mariusz96/blue-synthesiser,blue-synthesiser,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
41,https://github.com/waddafunk/Oscilloscope,Oscilloscope,effect - oscilloscope,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
43,https://github.com/Juanmalopezg/smooth-distortion,smooth-distortion,effect - distortion,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
44,https://github.com/pongasoft/jamba-sample-gain,jamba-sample-gain,effect - gain ,effect,Jamba framework,Yes,C++,,Passed,Yes,Yes,Both,"argparse, os, sys, platform",Yes,,No,No,No
45,https://github.com/midilab/jc303,jc303,virtual instrument - synthesizer,virtual instrument,,Yes,C++,Maintainability B,Passed,Yes,No,Header files,,Yes,"bug, enhancement",No,Yes,Yes
46,https://github.com/sainsay/AudioPlugins,AudioPlugins,effect - a bunch of effects,effect,,No,C++,,Passed,Yes,No,Header files,,No,enhancement,No,No,No
47,https://github.com/TheAvalanche/JustAudioFX,JustAudioFX,effect - delay,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
48,https://github.com/xuan25/RXG100-RE,RXG100-RE,effect - preamp,effect,,No,C#,,Passed,Yes,No,Header files,"System, AudioPlugSharp, AudioPlugSharpWPF",No,,No,No,No
49,https://github.com/KevinToodlepoot/MS-Exciter,MS-Exciter,effect - stereo expander and harmonic exciter,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
50,https://github.com/caleqw2/ParticleArtsPlugin,ParticleArtsPlugin,effect - midi - bouncing 2D particles,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,No
52,https://github.com/vihdzp/colimiter,colimiter,effect - invers limiter,effect,,No,Rust,,Passed,Yes,No,Header files,,Yes,,No,No,No
55,https://github.com/dmultiply/Klide,Klide,virtual instrument - euclidean drum machine,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,Yes,"bug, enhancement, question, invalid, help wanted",No,No,No
56,https://github.com/KaiDrange/ECMapper,ECMapper,effect - communicate with instrument and midi convertor,effect,,No,C++,Reliability C,Passed,Yes,No,Header files,,No,,No,No,No
57,https://github.com/pongasoft/vst-ab-switch,vst-ab-switch,effect - A/B switch,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
59,https://github.com/bartoszOsn/FuzzTeeth,FuzzTeeth,effect - fuzzed distortion,effect,,No,C++,,Passed,Yes,Yes,Both,,Yes,question,No,No,Yes
60,https://github.com/Dimethoxy/Plasma,Plasma,effect - distortion and warm filters,effect,,Yes,C++,"Maintainability B, Security Review E, cppcorectguideliness violated, performance affected negatively",Failed,Yes,No,Header files,,Yes,question,No,No,No
62,https://github.com/pongasoft/vst-vac-6v,vst-vac-6v,effect - volume analyzer and peak volume controller,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
63,https://github.com/DoomyDwyer/ASPiKProjects,ASPiKProjects,effect - multiple pedals,effect,ASPiK framework,No,C++,,Passed,Yes,No,Header files,,Yes,bug,Yes,No,No
64,https://github.com/Do-sth-sharp/libDMDA,libDMDA,effect - directly musical data access,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
66,https://github.com/polimi-ispl/ebeamer,ebeamer,effect -  beamforming for a specific instrument eSticks,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,"good first issue, enhancement",No,No,No
68,https://github.com/reillypascal/RSAlgorithmicVerb,RSAlgorithmicVerb,effect - reverb plugin,effect,,No,C++,"4.6% duplications, cppcorectguideliness violated",Failed,Yes,No,Header files,,Yes,,No,No,No
69,https://github.com/p-o-l-e/spiro,spiro,virtual instrument  - synthesiser,virtual instrument ,,No,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,Yes
70,https://github.com/JoergBitzer/JadeSpectrogram,JadeSpectrogram,effect - spectogram,effect,,No,C++,,Passed,Yes,Yes,Both,,No,question,No,No,Yes
72,https://github.com/MichaelBokatius/BlissBox,BlissBox,effect - guitar pedal,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
73,https://github.com/FilipeChagasDev/FClipper-plugin,FClipper-plugin,effect - clipper,effect,,No,C++,,Passed,Yes,Yes,Both,,Yes,,No,No,No
76,https://github.com/adammurdocknh/YAMS,YAMS,effect - 30 second mastering,effect,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,Yes
