full_name,programming_languages
klknn/kdr,"['D', 'Python', 'Starlark', 'Shell']"
hansen-audio/renegate-fx,"['CMake', 'C++', 'C']"
Wasted-Audio/wstd-eq,['C++']
AnClark/Minaton-XT,"['CMake', 'C', 'C++', 'Makefile', 'Python']"
xivilay/scale-remapper,"['CMake', 'Batchfile', 'C++', 'Shell']"
StoneyDSP/Biquads,"['C++', 'CMake', 'Objective-C++', 'C']"
patriceguyot/ComposeSiren,"['C++', 'C', 'Objective-C++', 'R']"
azur1s/penare,"['PowerShell', 'Rust', 'CSS']"
eulmour/HandyOsc,"['C++', 'C', 'CMake']"
psemiletov/drumlabooh,"['C++', 'CMake', 'C', 'NSIS']"
thezhe/D-lay,"['C', 'C++', 'Objective-C++', 'R']"
OlliV/DiaPro,"['CMake', 'C++', 'C', 'Shell']"
njazz/cloudseed-juce,"['CMake', 'C++', 'C', 'Objective-C++', 'R']"
xivilay/chord-recognition,"['CMake', 'C++', 'Batchfile']"
SimonZimmer/SEELE,"['CMake', 'C++']"
wolf-tickets/sound-and-outer-space,"['CMake', 'Makefile', 'C', 'C++', 'Objective-C++', 'R', 'Objective-C', 'Java']"
gregormcw/elev8,['C++']
MeijisIrlnd/Transfer,"['C', 'C++', 'Objective-C++', 'CMake']"
johanLsp/Milion,"['C', 'C++', 'CMake', 'Objective-C++']"
essenbee/multifilter,"['C', 'C++', 'Objective-C++', 'R']"
mariusz96/blue-synthesiser,['C++']
waddafunk/Oscilloscope,"['C++', 'Makefile', 'C']"
Juanmalopezg/smooth-distortion,"['C++', 'CMake']"
pongasoft/jamba-sample-gain,"['CMake', 'C++', 'C', 'Python']"
midilab/jc303,"['CMake', 'C++', 'C']"
sainsay/AudioPlugins,"['CMake', 'C++']"
TheAvalanche/JustAudioFX,['C++']
xuan25/RXG100-RE,"['C#', 'Batchfile']"
KevinToodlepoot/MS-Exciter,"['C++', 'C']"
caleqw2/ParticleArtsPlugin,['C++']
vihdzp/colimiter,['Rust']
dmultiply/Klide,"['C++', 'Rich Text Format']"
KaiDrange/ECMapper,"['C++', 'C', 'CMake', 'Shell']"
pongasoft/vst-ab-switch,"['CMake', 'C++', 'Python', 'C']"
bartoszOsn/FuzzTeeth,['C++']
Dimethoxy/Plasma,"['C++', 'C', 'Inno Setup', 'Shell']"
pongasoft/vst-vac-6v,"['CMake', 'Groovy', 'C++', 'C', 'Python']"
DoomyDwyer/ASPiKProjects,"['CMake', 'C++', 'C', 'Objective-C', 'Objective-C++', 'Batchfile', 'Shell']"
Do-sth-sharp/libDMDA,"['C++', 'C']"
