,Unnamed: 0,url,repository_url,labels_url,comments_url,events_url,html_url,id,node_id,number,title,labels,state,locked,assignee,assignees,comments,created_at,updated_at,closed_at,author_association,active_lock_reason,body,timeline_url,performed_via_github_app,state_reason,score,user.login,user.id,user.node_id,user.avatar_url,user.gravatar_id,user.url,user.html_url,user.followers_url,user.following_url,user.gists_url,user.starred_url,user.subscriptions_url,user.organizations_url,user.repos_url,user.events_url,user.received_events_url,user.type,user.site_admin,milestone.url,milestone.html_url,milestone.labels_url,milestone.id,milestone.node_id,milestone.number,milestone.title,milestone.description,milestone.creator.login,milestone.creator.id,milestone.creator.node_id,milestone.creator.avatar_url,milestone.creator.gravatar_id,milestone.creator.url,milestone.creator.html_url,milestone.creator.followers_url,milestone.creator.following_url,milestone.creator.gists_url,milestone.creator.starred_url,milestone.creator.subscriptions_url,milestone.creator.organizations_url,milestone.creator.repos_url,milestone.creator.events_url,milestone.creator.received_events_url,milestone.creator.type,milestone.creator.site_admin,milestone.open_issues,milestone.closed_issues,milestone.state,milestone.created_at,milestone.updated_at,milestone.due_on,milestone.closed_at,reactions.url,reactions.total_count,reactions.+1,reactions.-1,reactions.laugh,reactions.hooray,reactions.confused,reactions.heart,reactions.rocket,reactions.eyes,milestone,draft,pull_request.url,pull_request.html_url,pull_request.diff_url,pull_request.patch_url,pull_request.merged_at,assignee.login,assignee.id,assignee.node_id,assignee.avatar_url,assignee.gravatar_id,assignee.url,assignee.html_url,assignee.followers_url,assignee.following_url,assignee.gists_url,assignee.starred_url,assignee.subscriptions_url,assignee.organizations_url,assignee.repos_url,assignee.events_url,assignee.received_events_url,assignee.type,assignee.site_admin,days_age
43,43,https://api.github.com/repos/surge-synthesizer/surge/issues/7222,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7222/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7222/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7222/events,https://github.com/surge-synthesizer/surge/issues/7222,1910463589.0,I_kwDOCOvoes5x31xl,7222.0,Midi Learn should be available for patch browsing.,"[{'id': 1064039352, 'node_id': 'MDU6TGFiZWwxMDY0MDM5MzUy', 'url': 'https://api.github.com/repos/surge-synthesizer/surge/labels/Feature%20Request', 'name': 'Feature Request', 'color': 'a2eeef', 'default': False, 'description': 'New feature request'}]",closed,False,,[],2.0,2023-09-25,2023-09-25T05:56:34Z,2023-09-25,NONE,,"**Is your feature request related to a problem? Please describe!**

Some plugins, especially Arturia's plugins have a lovely patch browsing system which let you midi learn the next/previous preset buttons. This makes playing through banks of presets a joy. Easy and fun. For people with less than perfect eye-sight, also, a keyboard and or a midi shortcut for patch navigation would be a usability improvement.

**Describe the solution you'd like:**

A.  Cursor Up/Down keys mapped to next/previous preset.
B.  Ability to right click on next and previous preset and click midi learn.


**Describe alternatives you've considered:**

There could be alternative ways to do this via some other way of setting up midi mappings, but midi learn would be the most clear and direct method.

**Additional context:**

This is not just a feature request it's a usability improvement for people with limited vision, and for people who are using Surge XT as a live instrument.
",https://api.github.com/repos/surge-synthesizer/surge/issues/7222/timeline,,completed,1.0,wpostma,1833470.0,MDQ6VXNlcjE4MzM0NzA=,https://avatars.githubusercontent.com/u/1833470?v=4,,https://api.github.com/users/wpostma,https://github.com/wpostma,https://api.github.com/users/wpostma/followers,https://api.github.com/users/wpostma/following{/other_user},https://api.github.com/users/wpostma/gists{/gist_id},https://api.github.com/users/wpostma/starred{/owner}{/repo},https://api.github.com/users/wpostma/subscriptions,https://api.github.com/users/wpostma/orgs,https://api.github.com/users/wpostma/repos,https://api.github.com/users/wpostma/events{/privacy},https://api.github.com/users/wpostma/received_events,User,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7222/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,46,https://api.github.com/repos/surge-synthesizer/surge/issues/7219,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7219/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7219/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7219/events,https://github.com/surge-synthesizer/surge/pull/7219,1909934422.0,PR_kwDOCOvoes5bC0VT,7219.0,"Revert ""Skip VST3 Menus in Reason""",[],closed,False,,[],4.0,2023-09-23,2023-09-23T20:11:47Z,2023-09-23,COLLABORATOR,,"Reverts surge-synthesizer/surge#6766

Test to see if Reason Studios actually fixed it. Surely they wouldn't lie to us!",https://api.github.com/repos/surge-synthesizer/surge/issues/7219/timeline,,,1.0,mkruselj,2393720.0,MDQ6VXNlcjIzOTM3MjA=,https://avatars.githubusercontent.com/u/2393720?v=4,,https://api.github.com/users/mkruselj,https://github.com/mkruselj,https://api.github.com/users/mkruselj/followers,https://api.github.com/users/mkruselj/following{/other_user},https://api.github.com/users/mkruselj/gists{/gist_id},https://api.github.com/users/mkruselj/starred{/owner}{/repo},https://api.github.com/users/mkruselj/subscriptions,https://api.github.com/users/mkruselj/orgs,https://api.github.com/users/mkruselj/repos,https://api.github.com/users/mkruselj/events{/privacy},https://api.github.com/users/mkruselj/received_events,User,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7219/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,https://api.github.com/repos/surge-synthesizer/surge/pulls/7219,https://github.com/surge-synthesizer/surge/pull/7219,https://github.com/surge-synthesizer/surge/pull/7219.diff,https://github.com/surge-synthesizer/surge/pull/7219.patch,2023-09-23T17:30:14Z,,,,,,,,,,,,,,,,,,,0
47,47,https://api.github.com/repos/surge-synthesizer/surge/issues/7218,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7218/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7218/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7218/events,https://github.com/surge-synthesizer/surge/pull/7218,1904779556.0,PR_kwDOCOvoes5axfPi,7218.0,Modern retrig-from-zero sample offset,[],closed,False,,[],0.0,2023-09-20,2023-09-20T12:12:07Z,2023-09-20,COLLABORATOR,,"The modern 2-point DPW algorithm uses points at phase, phase-d and phase -2d to calculate. This has the defacto one-sample latency effect (at the oversample sample rate).

This doesn't matter *except* in the retrigger-from-zero case when that shift makes the first output point at the wrong phase.

So in retrigger, intiialize phase to dphase, not to 0, so you can hit the zero point for symmetric waveforms exactly.

Addresses https://github.com/surge-synthesizer/surge-rack/issues/937",https://api.github.com/repos/surge-synthesizer/surge/issues/7218/timeline,,,1.0,baconpaul,13387561.0,MDQ6VXNlcjEzMzg3NTYx,https://avatars.githubusercontent.com/u/13387561?v=4,,https://api.github.com/users/baconpaul,https://github.com/baconpaul,https://api.github.com/users/baconpaul/followers,https://api.github.com/users/baconpaul/following{/other_user},https://api.github.com/users/baconpaul/gists{/gist_id},https://api.github.com/users/baconpaul/starred{/owner}{/repo},https://api.github.com/users/baconpaul/subscriptions,https://api.github.com/users/baconpaul/orgs,https://api.github.com/users/baconpaul/repos,https://api.github.com/users/baconpaul/events{/privacy},https://api.github.com/users/baconpaul/received_events,User,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7218/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,https://api.github.com/repos/surge-synthesizer/surge/pulls/7218,https://github.com/surge-synthesizer/surge/pull/7218,https://github.com/surge-synthesizer/surge/pull/7218.diff,https://github.com/surge-synthesizer/surge/pull/7218.patch,2023-09-20T12:12:06Z,,,,,,,,,,,,,,,,,,,0
49,49,https://api.github.com/repos/surge-synthesizer/surge/issues/7216,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7216/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7216/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7216/events,https://github.com/surge-synthesizer/surge/issues/7216,1898904115.0,I_kwDOCOvoes5xLvoz,7216.0,Popping noises for Grand Piano 2022 by John Valentine,"[{'id': 2176487016, 'node_id': 'MDU6TGFiZWwyMTc2NDg3MDE2', 'url': 'https://api.github.com/repos/surge-synthesizer/surge/labels/Bug%20Report', 'name': 'Bug Report', 'color': '1d76db', 'default': False, 'description': 'Item submitted using the Bug Report template'}]",closed,False,,[],5.0,2023-09-15,2023-09-15T23:37:17Z,2023-09-15,NONE,,"**Bug Description:**
Grand Piano 2022 by John Valentine makes popping noises when you play lots of notes really fast for a few seconds

**Surge XT Version**
Surge XT 1.2.3.bb8dd2b

**Reproduction Steps:**
Steps to reproduce the behavior:
1. Select Grand Piano 2022 by John Valentine
2. play CDEFGFEDCDEFG ... really fast for a few seconds
3. observe the popping and clicking noises

**Expected Behavior:**
Playing notes really fast with other patches doesn't have this issue, there should be no popping and clicking

**Computer Information (please complete the following!):**
 - OS: Windows 10
 - Host: None, I'm just running surge xt as a standalone thing and connecting it to my midi piano (Impact LX61+)
 - Version: NA",https://api.github.com/repos/surge-synthesizer/surge/issues/7216/timeline,,completed,1.0,Phylliida,12589620.0,MDQ6VXNlcjEyNTg5NjIw,https://avatars.githubusercontent.com/u/12589620?v=4,,https://api.github.com/users/Phylliida,https://github.com/Phylliida,https://api.github.com/users/Phylliida/followers,https://api.github.com/users/Phylliida/following{/other_user},https://api.github.com/users/Phylliida/gists{/gist_id},https://api.github.com/users/Phylliida/starred{/owner}{/repo},https://api.github.com/users/Phylliida/subscriptions,https://api.github.com/users/Phylliida/orgs,https://api.github.com/users/Phylliida/repos,https://api.github.com/users/Phylliida/events{/privacy},https://api.github.com/users/Phylliida/received_events,User,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7216/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,50,https://api.github.com/repos/surge-synthesizer/surge/issues/7215,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7215/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7215/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7215/events,https://github.com/surge-synthesizer/surge/pull/7215,1891777516.0,PR_kwDOCOvoes5aFxsj,7215.0,/mnote notes are now releasable by noteID,[],closed,False,,[],0.0,2023-09-12,2023-09-12T22:13:53Z,2023-09-12,CONTRIBUTOR,,Note number/frequency values are disregarded when releases are made by noteID.,https://api.github.com/repos/surge-synthesizer/surge/issues/7215/timeline,,,1.0,pkstone,6858202.0,MDQ6VXNlcjY4NTgyMDI=,https://avatars.githubusercontent.com/u/6858202?v=4,,https://api.github.com/users/pkstone,https://github.com/pkstone,https://api.github.com/users/pkstone/followers,https://api.github.com/users/pkstone/following{/other_user},https://api.github.com/users/pkstone/gists{/gist_id},https://api.github.com/users/pkstone/starred{/owner}{/repo},https://api.github.com/users/pkstone/subscriptions,https://api.github.com/users/pkstone/orgs,https://api.github.com/users/pkstone/repos,https://api.github.com/users/pkstone/events{/privacy},https://api.github.com/users/pkstone/received_events,User,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7215/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,https://api.github.com/repos/surge-synthesizer/surge/pulls/7215,https://github.com/surge-synthesizer/surge/pull/7215,https://github.com/surge-synthesizer/surge/pull/7215.diff,https://github.com/surge-synthesizer/surge/pull/7215.patch,2023-09-12T15:50:41Z,,,,,,,,,,,,,,,,,,,0
52,52,https://api.github.com/repos/surge-synthesizer/surge/issues/7213,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7213/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7213/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7213/events,https://github.com/surge-synthesizer/surge/pull/7213,1886047823.0,PR_kwDOCOvoes5Zynwy,7213.0,Add OSC process call to CLAP,[],closed,False,,[],0.0,2023-09-07,2023-09-07T21:34:40Z,2023-09-07,COLLABORATOR,,Fixes #7212 ,https://api.github.com/repos/surge-synthesizer/surge/issues/7213/timeline,,,1.0,Andreya-Autumn,105538426.0,U_kgDOBkpjeg,https://avatars.githubusercontent.com/u/105538426?v=4,,https://api.github.com/users/Andreya-Autumn,https://github.com/Andreya-Autumn,https://api.github.com/users/Andreya-Autumn/followers,https://api.github.com/users/Andreya-Autumn/following{/other_user},https://api.github.com/users/Andreya-Autumn/gists{/gist_id},https://api.github.com/users/Andreya-Autumn/starred{/owner}{/repo},https://api.github.com/users/Andreya-Autumn/subscriptions,https://api.github.com/users/Andreya-Autumn/orgs,https://api.github.com/users/Andreya-Autumn/repos,https://api.github.com/users/Andreya-Autumn/events{/privacy},https://api.github.com/users/Andreya-Autumn/received_events,User,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7213/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,https://api.github.com/repos/surge-synthesizer/surge/pulls/7213,https://github.com/surge-synthesizer/surge/pull/7213,https://github.com/surge-synthesizer/surge/pull/7213.diff,https://github.com/surge-synthesizer/surge/pull/7213.patch,2023-09-07T16:38:00Z,,,,,,,,,,,,,,,,,,,0
53,53,https://api.github.com/repos/surge-synthesizer/surge/issues/7212,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7212/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7212/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7212/events,https://github.com/surge-synthesizer/surge/issues/7212,1885952085.0,I_kwDOCOvoes5waVhV,7212.0,OSC input doesn't work in CLAP version,"[{'id': 2176487016, 'node_id': 'MDU6TGFiZWwyMTc2NDg3MDE2', 'url': 'https://api.github.com/repos/surge-synthesizer/surge/labels/Bug%20Report', 'name': 'Bug Report', 'color': '1d76db', 'default': False, 'description': 'Item submitted using the Bug Report template'}, {'id': 3879582117, 'node_id': 'LA_kwDOCOvoes7nPbml', 'url': 'https://api.github.com/repos/surge-synthesizer/surge/labels/CLAP', 'name': 'CLAP', 'color': 'F120E8', 'default': False, 'description': 'Issues related to CLAP plugin format'}, {'id': 5765588480, 'node_id': 'LA_kwDOCOvoes8AAAABV6fmAA', 'url': 'https://api.github.com/repos/surge-synthesizer/surge/labels/OSC', 'name': 'OSC', 'color': 'fff0ff', 'default': False, 'description': 'Issues related to Open Sound Control (OSC) API'}]",closed,False,,[],0.0,2023-09-07,2023-09-07T16:38:02Z,2023-09-07,COLLABORATOR,,...at least not in Reaper or BWS on Mac. Investigation needed. ,https://api.github.com/repos/surge-synthesizer/surge/issues/7212/timeline,,completed,1.0,Andreya-Autumn,105538426.0,U_kgDOBkpjeg,https://avatars.githubusercontent.com/u/105538426?v=4,,https://api.github.com/users/Andreya-Autumn,https://github.com/Andreya-Autumn,https://api.github.com/users/Andreya-Autumn/followers,https://api.github.com/users/Andreya-Autumn/following{/other_user},https://api.github.com/users/Andreya-Autumn/gists{/gist_id},https://api.github.com/users/Andreya-Autumn/starred{/owner}{/repo},https://api.github.com/users/Andreya-Autumn/subscriptions,https://api.github.com/users/Andreya-Autumn/orgs,https://api.github.com/users/Andreya-Autumn/repos,https://api.github.com/users/Andreya-Autumn/events{/privacy},https://api.github.com/users/Andreya-Autumn/received_events,User,False,https://api.github.com/repos/surge-synthesizer/surge/milestones/32,https://github.com/surge-synthesizer/surge/milestone/32,https://api.github.com/repos/surge-synthesizer/surge/milestones/32/labels,9249176.0,MI_kwDOCOvoes4AjSGY,32.0,Surge XT 1.3,"We thought we'd have 1.2.1 perhaps but it didn't happen, and then PhilS came and started working on OSC, so we have it as a big feature to form a whole new release around it!",baconpaul,13387561.0,MDQ6VXNlcjEzMzg3NTYx,https://avatars.githubusercontent.com/u/13387561?v=4,,https://api.github.com/users/baconpaul,https://github.com/baconpaul,https://api.github.com/users/baconpaul/followers,https://api.github.com/users/baconpaul/following{/other_user},https://api.github.com/users/baconpaul/gists{/gist_id},https://api.github.com/users/baconpaul/starred{/owner}{/repo},https://api.github.com/users/baconpaul/subscriptions,https://api.github.com/users/baconpaul/orgs,https://api.github.com/users/baconpaul/repos,https://api.github.com/users/baconpaul/events{/privacy},https://api.github.com/users/baconpaul/received_events,User,False,0.0,101.0,closed,2023-04-05T12:36:14Z,2023-12-08T15:44:21Z,,2023-12-08T15:44:05Z,https://api.github.com/repos/surge-synthesizer/surge/issues/7212/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0
55,55,https://api.github.com/repos/surge-synthesizer/surge/issues/7210,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7210/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7210/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7210/events,https://github.com/surge-synthesizer/surge/pull/7210,1876952624.0,PR_kwDOCOvoes5ZUHOQ,7210.0,Osc work: added /allnotesoff message,[],closed,False,,[],0.0,2023-09-01,2023-09-01T10:08:14Z,2023-09-01,CONTRIBUTOR,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7210/timeline,,,1.0,pkstone,6858202.0,MDQ6VXNlcjY4NTgyMDI=,https://avatars.githubusercontent.com/u/6858202?v=4,,https://api.github.com/users/pkstone,https://github.com/pkstone,https://api.github.com/users/pkstone/followers,https://api.github.com/users/pkstone/following{/other_user},https://api.github.com/users/pkstone/gists{/gist_id},https://api.github.com/users/pkstone/starred{/owner}{/repo},https://api.github.com/users/pkstone/subscriptions,https://api.github.com/users/pkstone/orgs,https://api.github.com/users/pkstone/repos,https://api.github.com/users/pkstone/events{/privacy},https://api.github.com/users/pkstone/received_events,User,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7210/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,https://api.github.com/repos/surge-synthesizer/surge/pulls/7210,https://github.com/surge-synthesizer/surge/pull/7210,https://github.com/surge-synthesizer/surge/pull/7210.diff,https://github.com/surge-synthesizer/surge/pull/7210.patch,2023-09-01T08:32:05Z,,,,,,,,,,,,,,,,,,,0
56,56,https://api.github.com/repos/surge-synthesizer/surge/issues/7209,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7209/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7209/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7209/events,https://github.com/surge-synthesizer/surge/pull/7209,1876453835.0,PR_kwDOCOvoes5ZSbg-,7209.0,Add OpenSoundControl Note Expressions,[],closed,False,,[],0.0,2023-08-31,2023-09-01T00:03:17Z,2023-09-01,COLLABORATOR,,Add OSC note expressions to the OSC messages.,https://api.github.com/repos/surge-synthesizer/surge/issues/7209/timeline,,,1.0,baconpaul,13387561.0,MDQ6VXNlcjEzMzg3NTYx,https://avatars.githubusercontent.com/u/13387561?v=4,,https://api.github.com/users/baconpaul,https://github.com/baconpaul,https://api.github.com/users/baconpaul/followers,https://api.github.com/users/baconpaul/following{/other_user},https://api.github.com/users/baconpaul/gists{/gist_id},https://api.github.com/users/baconpaul/starred{/owner}{/repo},https://api.github.com/users/baconpaul/subscriptions,https://api.github.com/users/baconpaul/orgs,https://api.github.com/users/baconpaul/repos,https://api.github.com/users/baconpaul/events{/privacy},https://api.github.com/users/baconpaul/received_events,User,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7209/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,https://api.github.com/repos/surge-synthesizer/surge/pulls/7209,https://github.com/surge-synthesizer/surge/pull/7209,https://github.com/surge-synthesizer/surge/pull/7209.diff,https://github.com/surge-synthesizer/surge/pull/7209.patch,2023-09-01T00:03:17Z,,,,,,,,,,,,,,,,,,,1
57,57,https://api.github.com/repos/surge-synthesizer/surge/issues/7208,https://api.github.com/repos/surge-synthesizer/surge,https://api.github.com/repos/surge-synthesizer/surge/issues/7208/labels{/name},https://api.github.com/repos/surge-synthesizer/surge/issues/7208/comments,https://api.github.com/repos/surge-synthesizer/surge/issues/7208/events,https://github.com/surge-synthesizer/surge/pull/7208,1874568493.0,PR_kwDOCOvoes5ZMAhO,7208.0,Osc work: added note expressions over OSC,[],closed,False,,[],0.0,2023-08-31,2023-08-31T22:43:03Z,2023-08-31,CONTRIBUTOR,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7208/timeline,,,1.0,pkstone,6858202.0,MDQ6VXNlcjY4NTgyMDI=,https://avatars.githubusercontent.com/u/6858202?v=4,,https://api.github.com/users/pkstone,https://github.com/pkstone,https://api.github.com/users/pkstone/followers,https://api.github.com/users/pkstone/following{/other_user},https://api.github.com/users/pkstone/gists{/gist_id},https://api.github.com/users/pkstone/starred{/owner}{/repo},https://api.github.com/users/pkstone/subscriptions,https://api.github.com/users/pkstone/orgs,https://api.github.com/users/pkstone/repos,https://api.github.com/users/pkstone/events{/privacy},https://api.github.com/users/pkstone/received_events,User,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.github.com/repos/surge-synthesizer/surge/issues/7208/reactions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,https://api.github.com/repos/surge-synthesizer/surge/pulls/7208,https://github.com/surge-synthesizer/surge/pull/7208,https://github.com/surge-synthesizer/surge/pull/7208.diff,https://github.com/surge-synthesizer/surge/pull/7208.patch,,,,,,,,,,,,,,,,,,,,0
