,Organization,Repositories developed
0,pongasoft,4
1,wolf-plugins,3
2,Chowdhury-DSP,2
3,hansen-audio,2
4,blackboxdsp,2
5,POTR-Soft,1
6,DISTRHO,1
7,fake-industries,1
8,abbysoft-team,1
9,Wasted-Audio,1
10,00laboratories,1
11,linuxmao-org,1
12,rochen-sound-collective,1
13,ReplicatAudio,1
14,surge-synthesizer,1
15,Uberton,1
16,vocalodon,1
17,vroomai,1
18,polimi-ispl,1
19,osam-cologne,1
20,monadgroup,1
21,tobanteAudio,1
22,publicsamples,1
23,trackbout,1
24,amsynth,1
25,kushview,1
26,Do-sth-sharp,1
27,LibreArp,1
28,werckme,1
29,elk-audio,1
30,QVbDev,1
31,seven-phases,1
32,nimbletools,1
33,sfztools,1
