,repository_url,commits_number,contributors_number
0,https://api.github.com/repos/FilipeChagasDev/FClipper-plugin,11,0
1,https://api.github.com/repos/melezhik/sparrowdo-vsts-build,16,0
2,https://api.github.com/repos/microsoft/azure-devops-python-api,392,13
3,https://api.github.com/repos/p4thie/esc,15,0
4,https://api.github.com/repos/alanwales/vsts-resharper-code-quality-task,40,4
5,https://api.github.com/repos/jthorborg/signalizer,300,0
6,https://api.github.com/repos/tomtom-international/azure-pipeline-templates,27,3
7,https://api.github.com/repos/javierescobare/PetProjectTests,6,0
8,https://api.github.com/repos/SpotlightKid/midiomatic,92,2
9,https://api.github.com/repos/blackboxdsp/phantom,335,0
10,https://api.github.com/repos/onlyutkarsh/ExtensionDownloadMonitorWidget,2,0
11,https://api.github.com/repos/pardinensis/useless_reverb,6,0
12,https://api.github.com/repos/carlowahlstedt/NewmanPostman_VSTS_Task,197,14
13,https://api.github.com/repos/igorski/rechoir,21,0
14,https://api.github.com/repos/ArdenButterfield/Fish-backup,8,0
15,https://api.github.com/repos/hsetlik/HexFm,78,0
16,https://api.github.com/repos/wenwu449/vsts-pr-reviewer,2,0
17,https://api.github.com/repos/alxtim10/AngklungBeats,5,0
18,https://api.github.com/repos/OSRTeam/OpenSoundRefenation,12,0
19,https://api.github.com/repos/sfztools/sfizz-ui,51,2
20,https://api.github.com/repos/SanJacobs/filmstripper,26,0
21,https://api.github.com/repos/geeklearningio/gl-vsts-tasks-inception,45,0
22,https://api.github.com/repos/stfufane/Midi-Transposer,99,0
23,https://api.github.com/repos/carlowahlstedt/7zip_VSTS_Task,16,2
24,https://api.github.com/repos/TobiasKozel/GuitarD,513,0
25,https://api.github.com/repos/kushview/roboverb,104,0
26,https://api.github.com/repos/progwolff/performer,381,0
27,https://api.github.com/repos/hotwatermorning/Vst3SampleHost,475,2
28,https://api.github.com/repos/defuse/vst_plugin,3,0
29,https://api.github.com/repos/OdysseasKr/synth1-dataset,19,0
30,https://api.github.com/repos/cake-contrib/Cake.BuildSystems.Module,238,12
31,https://api.github.com/repos/alexyer/digidist,1,0
32,https://api.github.com/repos/utokusa/BiquadLimiter,15,0
33,https://api.github.com/repos/mzuther/traKmeter,394,0
34,https://api.github.com/repos/sadmemelord/QuasoLocalizationPanner,30,0
35,https://api.github.com/repos/jareddrayton/Audio-Plugin-Development-Resources,45,2
36,https://api.github.com/repos/vvvar/PeakEater,102,2
37,https://api.github.com/repos/haszari/PhraseSyncPlugins,40,0
38,https://api.github.com/repos/VirtualRaven/KandVST,592,6
39,https://api.github.com/repos/4ux-nbIx/posh-git-workflow,10,0
40,https://api.github.com/repos/Masahigo/sitecore-azure-devops,26,0
41,https://api.github.com/repos/TailyFair/vstoy,11,0
42,https://api.github.com/repos/PureRandom/VstsCoverCoverageExtension,12,0
43,https://api.github.com/repos/geeklearningio/gl-vsts-tasks-files,15,2
44,https://api.github.com/repos/Dimethoxy/Plasma,122,2
45,https://api.github.com/repos/sabeiro/McAmp,17,0
46,https://api.github.com/repos/HoussemDellai/MvcAppWithDatabase,4,0
47,https://api.github.com/repos/paulgmiller/vstsdockerbuild,44,3
48,https://api.github.com/repos/vertver/Dynation,6,0
49,https://api.github.com/repos/Mg32/SymmetricPingPongDelay,6,0
50,https://api.github.com/repos/MichaelBokatius/BlissBox,7,0
51,https://api.github.com/repos/geekosdawproject/geekosdaw-issues,10,2
52,https://api.github.com/repos/StoneyDSP/Biquads,284,0
53,https://api.github.com/repos/sainsay/AudioPlugins,8,0
54,https://api.github.com/repos/JacobHenner/puppet-azure_pipelines,18,0
55,https://api.github.com/repos/stpatrick2016/mql5-compiler,42,0
56,https://api.github.com/repos/sjwaight/funcs-cd-demo,14,0
57,https://api.github.com/repos/lukemcraig/OvertoneFilter,199,0
58,https://api.github.com/repos/gmoe/learning-dsp,40,2
59,https://api.github.com/repos/jkruza/DevOpsDashboard,12,2
60,https://api.github.com/repos/Geonkick-Synthesizer/geonkick,1201,0
61,https://api.github.com/repos/JosephTLyons/SimplEQ,16,0
62,https://api.github.com/repos/sourc3array/808TK,80,0
63,https://api.github.com/repos/toasty-ghost/ASE_KM_Caverb,13,0
64,https://api.github.com/repos/semantic-release/env-ci,285,24
65,https://api.github.com/repos/joaoasrosa/azuredevops-pipeline-container,13,0
66,https://api.github.com/repos/frontporch/fp-vsts-agent,34,0
67,https://api.github.com/repos/n3rd/azure-devops-build-agent,3,0
68,https://api.github.com/repos/tobania/VSTS.Extension.SqlReportingServices,52,4
69,https://api.github.com/repos/fukuroder/BLIT-based_sinewave_hardsync,113,0
