,html_url,name,full_name,description,topics,created_at,updated_at,pushed_at,size,language,stargazers_count,subscribers_count,has_issues,has_downloads,has_discussions,forks_count,default_branch,private,open_issues_only,closed_issues_only,open_pull_requests,closed_pull_requests,commits_number,contributors_number,license.key,owner.type,Included?
0,https://github.com/klknn/kdr,kdr,klknn/kdr,klknn dplug repository,"['audio-processing', 'audio-units', 'dlang', 'dplug', 'dsp', 'vst', 'vst3']",2022-09-24T06:38:43Z,2023-04-04T18:36:29Z,2023-06-25T15:29:30Z,3337,D,13,1,TRUE,TRUE,FALSE,1,master,FALSE,8,2,2,19,200,0,bsl-1.0,User,Yes
5,https://github.com/hansen-audio/renegate-fx,renegate-fx,hansen-audio/renegate-fx,VST 3 Trancegate Effect,"['audio', 'audio-processing', 'cmake', 'cpp', 'effect', 'fx', 'plugin', 'rust', 'vst', 'vst3']",2021-05-16T09:57:18Z,2023-08-26T22:27:02Z,2023-08-06T20:35:13Z,151,C++,11,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,mit,Organization,Yes
7,https://github.com/Wasted-Audio/wstd-eq,wstd-eq,Wasted-Audio/wstd-eq,Simple nasty EQ plugin.,"['clap', 'dpf', 'imgui', 'jack', 'lv2', 'plugin', 'vst', 'vst3']",2023-01-31T21:19:12Z,2023-09-02T03:23:21Z,2023-09-06T11:39:18Z,164,C++,10,0,TRUE,TRUE,FALSE,2,master,FALSE,0,0,0,0,0,0,gpl-3.0,Organization,Yes
11,https://github.com/AnClark/Minaton-XT,Minaton-XT,AnClark/Minaton-XT,"DPF port of Minaton, an analogue style synthesizer","['audio', 'clap', 'lv2', 'plugin', 'synthesizer', 'vst', 'vst3']",2023-01-21T05:58:23Z,2023-08-24T05:00:29Z,2023-09-14T12:52:50Z,2610,C++,9,0,TRUE,TRUE,FALSE,0,develop,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
12,https://github.com/xivilay/scale-remapper,scale-remapper,xivilay/scale-remapper,Routes white keys from midi-input to chosen scale to midi output,"['blocks', 'lumi', 'lumi-keys', 'lv2', 'midi', 'music', 'music-theory', 'plugin', 'scale', 'scales', 'vst3']",2021-11-15T19:39:02Z,2023-04-29T01:17:51Z,2023-02-25T16:09:07Z,259,C++,9,0,TRUE,TRUE,TRUE,0,master,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
13,https://github.com/StoneyDSP/Biquads,Biquads,StoneyDSP/Biquads,"Multi-mode Biquad filter for audio analysis purposes using variable BiLinear transforms, processing precision, and oversampling to achieve high-quality results","['audio', 'audio-processing', 'bilinear-transformation', 'biquad', 'cplusplus', 'cpp', 'direct-form-i', 'direct-form-ii', 'direct-form-transposed', 'dsp', 'equalizer', 'juce', 'juce-framework', 'vst3']",2022-05-16T21:03:31Z,2023-09-07T18:32:34Z,2023-09-13T04:52:45Z,28409,C++,8,0,TRUE,TRUE,TRUE,1,master,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
14,https://github.com/patriceguyot/ComposeSiren,ComposeSiren,patriceguyot/ComposeSiren,ComposeSiren is a plugin that synthesize sounds of sirens made by M̩canique Vivante.,"['audiounit', 'juce', 'vst3', 'vst3-plugin']",2020-09-28T14:23:15Z,2023-06-27T12:19:05Z,2022-10-19T14:45:05Z,73351,C++,8,0,TRUE,TRUE,FALSE,1,master,FALSE,0,0,0,0,0,0,0,User,Yes
16,https://github.com/flosstudio/flosstudio,flosstudio,flosstudio/flosstudio,Database of FLOSS programs for music-making,"['audio-production', 'database', 'daw', 'dsp', 'dssi', 'floss', 'ladspa', 'libre', 'lv2', 'musicmaking', 'vst', 'vst3', 'yaml']",2020-06-06T08:29:55Z,2023-07-23T14:31:26Z,2020-07-10T02:33:23Z,4,Shell,8,0,TRUE,TRUE,FALSE,1,master,FALSE,0,0,0,0,0,0,cc0-1.0,Organization,Yes
19,https://github.com/azur1s/penare,penare,azur1s/penare,(VST3/CLAP) A wonky distortion plugin :3,"['audio-processing', 'nih-plug', 'rust', 'vst3']",2023-08-01T00:04:52Z,2023-09-14T10:19:16Z,2023-08-14T07:03:06Z,364,Rust,7,0,TRUE,TRUE,FALSE,1,main,FALSE,0,0,0,0,0,0,gpl-3.0,User,Yes
20,https://github.com/eulmour/HandyOsc,HandyOsc,eulmour/HandyOsc,Turn any audio into a digital synth,"['audio', 'cpp', 'daw', 'synth', 'synthesizer', 'vst', 'vst3', 'vst3-plugin']",2022-10-26T07:59:06Z,2023-07-23T14:33:28Z,2022-10-26T08:18:20Z,219,C++,7,0,TRUE,TRUE,FALSE,0,master,FALSE,0,0,0,0,0,0,bsd-3-clause,User,Yes
