,language
0,C++
1,C
1,C++
1,Ruby
1,Python
1,Shell
2,C++
2,C
2,CMake
2,Objective-C++
2,Java
2,Makefile
2,Objective-C
2,R
2,Python
2,Batchfile
3,C#
3,Batchfile
4,C++
4,C
4,Objective-C++
4,R
5,C++
5,JavaScript
5,CMake
5,C
5,Shell
5,Batchfile
6,C++
6,C
6,Shell
7,C++
7,Makefile
7,Shell
7,C
7,CMake
7,Objective-C++
7,Inno Setup
7,Ruby
8,Rust
8,Shell
9,C++
9,CMake
9,Batchfile
10,C++
10,C
10,CMake
10,Objective-C++
11,C++
11,Shell
11,Inno Setup
11,C
11,Python
11,Batchfile
11,Objective-C++
12,Shell
13,Pascal
13,C
13,HTML
13,PHP
13,Assembly
13,C++
13,JavaScript
13,AutoIt
13,CSS
13,Batchfile
13,Makefile
13,Inno Setup
13,NSIS
13,Pawn
13,Shell
14,C++
14,C
14,HTML
14,Makefile
14,Objective-C++
14,Objective-C
14,Shell
14,Batchfile
14,JavaScript
14,CSS
15,C++
15,C
16,C++
16,CMake
16,C
16,Shell
16,Batchfile
17,C++
17,Python
17,C
17,Faust
17,Shell
17,Inno Setup
17,Batchfile
17,Rich Text Format
17,TeX
17,Makefile
17,Objective-C
18,C++
18,C
18,Objective-C++
18,R
19,Rust
19,Shell
20,C++
20,Makefile
20,CMake
20,Shell
20,C
21,C++
21,JavaScript
21,CMake
21,C
21,Shell
21,Batchfile
22,Rust
22,CSS
23,C++
23,C
23,Objective-C++
23,R
24,POV-Ray SDL
24,C++
24,C
24,Makefile
24,MATLAB
25,C++
25,C
25,CMake
25,Makefile
26,Java
27,C++
28,C++
28,CMake
28,Python
28,MATLAB
28,C
29,C++
29,C
29,Inno Setup
29,Objective-C++
29,R
30,TypeScript
30,Rust
30,CSS
30,JavaScript
30,HTML
31,C++
31,C
32,Rust
33,C++
33,CMake
34,Rust
34,Shell
35,C++
35,Makefile
35,C
35,Objective-C++
36,C++
36,Makefile
36,C
36,Shell
37,C++
38,C++
38,C
39,C++
39,C
39,Objective-C++
39,R
40,C++
40,C
40,Objective-C++
40,R
41,C++
41,CMake
41,Batchfile
41,C
42,C++
42,Shell
42,Inno Setup
42,C
42,Python
42,Batchfile
42,Objective-C++
43,C++
44,C++
44,CMake
45,C++
46,C++
46,Python
46,Shell
46,Batchfile
46,Inno Setup
46,C
46,Rich Text Format
46,Makefile
46,Objective-C
46,TeX
47,C++
47,C
47,Objective-C++
47,R
48,Python
49,C++
49,CMake
49,C
50,C
50,C++
50,CMake
50,Objective-C++
50,Shell
50,Python
51,C++
51,C
51,Objective-C++
51,CMake
52,C++
53,C++
53,CMake
53,C
54,C++
54,Assembly
54,C
54,CMake
54,Makefile
54,Shell
54,Batchfile
55,C++
56,C++
56,CMake
56,C
56,Python
56,Makefile
57,C++
57,C
58,C++
