,repository,number,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,contributions
0,FilipeChagasDev/FClipper-plugin,0,,,,,,,,,,,,,,,,,,,
1,melezhik/sparrowdo-vsts-build,0,,,,,,,,,,,,,,,,,,,
2,microsoft/azure-devops-python-api,13,tedchamb,13457072.0,MDQ6VXNlcjEzNDU3MDcy,https://avatars.githubusercontent.com/u/13457072?v=4,,https://api.github.com/users/tedchamb,https://github.com/tedchamb,https://api.github.com/users/tedchamb/followers,https://api.github.com/users/tedchamb/following{/other_user},https://api.github.com/users/tedchamb/gists{/gist_id},https://api.github.com/users/tedchamb/starred{/owner}{/repo},https://api.github.com/users/tedchamb/subscriptions,https://api.github.com/users/tedchamb/orgs,https://api.github.com/users/tedchamb/repos,https://api.github.com/users/tedchamb/events{/privacy},https://api.github.com/users/tedchamb/received_events,User,True,344.0
3,p4thie/esc,0,,,,,,,,,,,,,,,,,,,
4,alanwales/vsts-resharper-code-quality-task,4,bibliothek,5796041.0,MDQ6VXNlcjU3OTYwNDE=,https://avatars.githubusercontent.com/u/5796041?v=4,,https://api.github.com/users/bibliothek,https://github.com/bibliothek,https://api.github.com/users/bibliothek/followers,https://api.github.com/users/bibliothek/following{/other_user},https://api.github.com/users/bibliothek/gists{/gist_id},https://api.github.com/users/bibliothek/starred{/owner}{/repo},https://api.github.com/users/bibliothek/subscriptions,https://api.github.com/users/bibliothek/orgs,https://api.github.com/users/bibliothek/repos,https://api.github.com/users/bibliothek/events{/privacy},https://api.github.com/users/bibliothek/received_events,User,False,10.0
5,jthorborg/signalizer,0,,,,,,,,,,,,,,,,,,,
6,tomtom-international/azure-pipeline-templates,3,eugene-davis,5706175.0,MDQ6VXNlcjU3MDYxNzU=,https://avatars.githubusercontent.com/u/5706175?v=4,,https://api.github.com/users/eugene-davis,https://github.com/eugene-davis,https://api.github.com/users/eugene-davis/followers,https://api.github.com/users/eugene-davis/following{/other_user},https://api.github.com/users/eugene-davis/gists{/gist_id},https://api.github.com/users/eugene-davis/starred{/owner}{/repo},https://api.github.com/users/eugene-davis/subscriptions,https://api.github.com/users/eugene-davis/orgs,https://api.github.com/users/eugene-davis/repos,https://api.github.com/users/eugene-davis/events{/privacy},https://api.github.com/users/eugene-davis/received_events,User,False,13.0
7,javierescobare/PetProjectTests,0,,,,,,,,,,,,,,,,,,,
8,SpotlightKid/midiomatic,2,SpotlightKid,5719151.0,MDQ6VXNlcjU3MTkxNTE=,https://avatars.githubusercontent.com/u/5719151?v=4,,https://api.github.com/users/SpotlightKid,https://github.com/SpotlightKid,https://api.github.com/users/SpotlightKid/followers,https://api.github.com/users/SpotlightKid/following{/other_user},https://api.github.com/users/SpotlightKid/gists{/gist_id},https://api.github.com/users/SpotlightKid/starred{/owner}{/repo},https://api.github.com/users/SpotlightKid/subscriptions,https://api.github.com/users/SpotlightKid/orgs,https://api.github.com/users/SpotlightKid/repos,https://api.github.com/users/SpotlightKid/events{/privacy},https://api.github.com/users/SpotlightKid/received_events,User,False,91.0
9,blackboxdsp/phantom,0,,,,,,,,,,,,,,,,,,,
10,onlyutkarsh/ExtensionDownloadMonitorWidget,0,,,,,,,,,,,,,,,,,,,
11,pardinensis/useless_reverb,0,,,,,,,,,,,,,,,,,,,
12,carlowahlstedt/NewmanPostman_VSTS_Task,14,carlowahlstedt,2687687.0,MDQ6VXNlcjI2ODc2ODc=,https://avatars.githubusercontent.com/u/2687687?v=4,,https://api.github.com/users/carlowahlstedt,https://github.com/carlowahlstedt,https://api.github.com/users/carlowahlstedt/followers,https://api.github.com/users/carlowahlstedt/following{/other_user},https://api.github.com/users/carlowahlstedt/gists{/gist_id},https://api.github.com/users/carlowahlstedt/starred{/owner}{/repo},https://api.github.com/users/carlowahlstedt/subscriptions,https://api.github.com/users/carlowahlstedt/orgs,https://api.github.com/users/carlowahlstedt/repos,https://api.github.com/users/carlowahlstedt/events{/privacy},https://api.github.com/users/carlowahlstedt/received_events,User,False,139.0
13,igorski/rechoir,0,,,,,,,,,,,,,,,,,,,
14,ArdenButterfield/Fish-backup,0,,,,,,,,,,,,,,,,,,,
15,hsetlik/HexFm,0,,,,,,,,,,,,,,,,,,,
16,wenwu449/vsts-pr-reviewer,0,,,,,,,,,,,,,,,,,,,
17,alxtim10/AngklungBeats,0,,,,,,,,,,,,,,,,,,,
18,OSRTeam/OpenSoundRefenation,0,,,,,,,,,,,,,,,,,,,
19,sfztools/sfizz-ui,2,redtide,1171962.0,MDQ6VXNlcjExNzE5NjI=,https://avatars.githubusercontent.com/u/1171962?v=4,,https://api.github.com/users/redtide,https://github.com/redtide,https://api.github.com/users/redtide/followers,https://api.github.com/users/redtide/following{/other_user},https://api.github.com/users/redtide/gists{/gist_id},https://api.github.com/users/redtide/starred{/owner}{/repo},https://api.github.com/users/redtide/subscriptions,https://api.github.com/users/redtide/orgs,https://api.github.com/users/redtide/repos,https://api.github.com/users/redtide/events{/privacy},https://api.github.com/users/redtide/received_events,User,False,48.0
20,SanJacobs/filmstripper,0,,,,,,,,,,,,,,,,,,,
21,geeklearningio/gl-vsts-tasks-inception,0,,,,,,,,,,,,,,,,,,,
22,stfufane/Midi-Transposer,0,,,,,,,,,,,,,,,,,,,
23,carlowahlstedt/7zip_VSTS_Task,2,carlowahlstedt,2687687.0,MDQ6VXNlcjI2ODc2ODc=,https://avatars.githubusercontent.com/u/2687687?v=4,,https://api.github.com/users/carlowahlstedt,https://github.com/carlowahlstedt,https://api.github.com/users/carlowahlstedt/followers,https://api.github.com/users/carlowahlstedt/following{/other_user},https://api.github.com/users/carlowahlstedt/gists{/gist_id},https://api.github.com/users/carlowahlstedt/starred{/owner}{/repo},https://api.github.com/users/carlowahlstedt/subscriptions,https://api.github.com/users/carlowahlstedt/orgs,https://api.github.com/users/carlowahlstedt/repos,https://api.github.com/users/carlowahlstedt/events{/privacy},https://api.github.com/users/carlowahlstedt/received_events,User,False,15.0
