,total_count,incomplete_results,items,repository_url
0,6,False,"[{'url': 'https://api.github.com/repos/martinstolz-ch/MidiPluginTemplate/issues/6', 'repository_url': 'https://api.github.com/repos/martinstolz-ch/MidiPluginTemplate', 'labels_url': 'https://api.github.com/repos/martinstolz-ch/MidiPluginTemplate/issues/6/labels{/name}', 'comments_url': 'https://api.github.com/repos/martinstolz-ch/MidiPluginTemplate/issues/6/comments', 'events_url': 'https://api.github.com/repos/martinstolz-ch/MidiPluginTemplate/issues/6/events', 'html_url': 'https://github.com/martinstolz-ch/MidiPluginTemplate/issues/6', 'id': 1384753085, 'node_id': 'I_kwDOHuDlY85Siae9', 'number': 6, 'title': 'add Config file template', 'user': {'login': 'martinstolz-ch', 'id': 1113611, 'node_id': 'MDQ6VXNlcjExMTM2MTE=', 'avatar_url': 'https://avatars.githubusercontent.com/u/1113611?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/martinstolz-ch', 'html_url': 'https://github.com/martinstolz-ch', 'followers_url': 'https://api.github.com/users/martinstolz-ch/followers', 'following_url': 'https://api.github.com/users/martinstolz-ch/following{/other_user}', 'gists_url': 'https://api.github.com/users/martinstolz-ch/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/martinstolz-ch/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/martinstolz-ch/subscriptions', 'organizations_url': 'https://api.github.com/users/martinstolz-ch/orgs', 'repos_url': 'https://api.github.com/users/martinstolz-ch/repos', 'events_url': 'https://api.github.com/users/martinstolz-ch/events{/privacy}', 'received_events_url': 'https://api.github.com/users/martinstolz-ch/received_events', 'type': 'User', 'site_admin': False}, 'labels': [{'id': 4365047084, 'node_id': 'LA_kwDOHuDlY88AAAABBC1VLA', 'url': 'https://api.github.com/repos/martinstolz-ch/MidiPluginTemplate/labels/enhancement', 'name': 'enhancement', 'color': 'a2eeef', 'default': True, 'description': 'New feature or request'}], 'state': 'closed', 'locked': False, 'assignee': {'login': 'martinstolz-ch', 'id': 1113611, 'node_id': 'MDQ6VXNlcjExMTM2MTE=', 'avatar_url': 'https://avatars.githubusercontent.com/u/1113611?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/martinstolz-ch', 'html_url': 'https://github.com/martinstolz-ch', 'followers_url': 'https://api.github.com/users/martinstolz-ch/followers', 'following_url': 'https://api.github.com/users/martinstolz-ch/following{/other_user}', 'gists_url': 'https://api.github.com/users/martinstolz-ch/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/martinstolz-ch/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/martinstolz-ch/subscriptions', 'organizations_url': 'https://api.github.com/users/martinstolz-ch/orgs', 'repos_url': 'https://api.github.com/users/martinstolz-ch/repos', 'events_url': 'https://api.github.com/users/martinstolz-ch/events{/privacy}', 'received_events_url': 'https://api.github.com/users/martinstolz-ch/received_events', 'type': 'User', 'site_admin': False}, 'assignees': [{'login': 'martinstolz-ch', 'id': 1113611, 'node_id': 'MDQ6VXNlcjExMTM2MTE=', 'avatar_url': 'https://avatars.githubusercontent.com/u/1113611?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/martinstolz-ch', 'html_url': 'https://github.com/martinstolz-ch', 'followers_url': 'https://api.github.com/users/martinstolz-ch/followers', 'following_url': 'https://api.github.com/users/martinstolz-ch/following{/other_user}', 'gists_url': 'https://api.github.com/users/martinstolz-ch/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/martinstolz-ch/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/martinstolz-ch/subscriptions', 'organizations_url': 'https://api.github.com/users/martinstolz-ch/orgs', 'repos_url': 'https://api.github.com/users/martinstolz-ch/repos', 'events_url': 'https://api.github.com/users/martinstolz-ch/events{/privacy}', 'received_events_url': 'https://api.github.com/users/martinstolz-ch/received_events', 'type': 'User', 'site_admin': False}], 'milestone': None, 'comments': 0, 'created_at': '2022-09-24T17:27:32Z', 'updated_at': '2022-09-24T17:37:58Z', 'closed_at': '2022-09-24T17:37:58Z', 'author_association': 'OWNER', 'active_lock_reason': None, 'body': None, 'reactions': {'url': 'https://api.github.com/repos/martinstolz-ch/MidiPluginTemplate/issues/6/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/martinstolz-ch/MidiPluginTemplate/issues/6/timeline', 'performed_via_github_app': None, 'state_reason': 'completed', 'score': 1.0}]",https://api.github.com/repos/martinstolz-ch/MidiPluginTemplate
1,0,False,[],
2,19,False,"[{'url': 'https://api.github.com/repos/iricigor/InstallModuleFromGit/issues/47', 'repository_url': 'https://api.github.com/repos/iricigor/InstallModuleFromGit', 'labels_url': 'https://api.github.com/repos/iricigor/InstallModuleFromGit/issues/47/labels{/name}', 'comments_url': 'https://api.github.com/repos/iricigor/InstallModuleFromGit/issues/47/comments', 'events_url': 'https://api.github.com/repos/iricigor/InstallModuleFromGit/issues/47/events', 'html_url': 'https://github.com/iricigor/InstallModuleFromGit/issues/47', 'id': 972475339, 'node_id': 'MDU6SXNzdWU5NzI0NzUzMzk=', 'number': 47, 'title': 'Update-GitModule with Gitlab', 'user': {'login': 'OneManMonkeySquad', 'id': 39922492, 'node_id': 'MDQ6VXNlcjM5OTIyNDky', 'avatar_url': 'https://avatars.githubusercontent.com/u/39922492?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/OneManMonkeySquad', 'html_url': 'https://github.com/OneManMonkeySquad', 'followers_url': 'https://api.github.com/users/OneManMonkeySquad/followers', 'following_url': 'https://api.github.com/users/OneManMonkeySquad/following{/other_user}', 'gists_url': 'https://api.github.com/users/OneManMonkeySquad/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/OneManMonkeySquad/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/OneManMonkeySquad/subscriptions', 'organizations_url': 'https://api.github.com/users/OneManMonkeySquad/orgs', 'repos_url': 'https://api.github.com/users/OneManMonkeySquad/repos', 'events_url': 'https://api.github.com/users/OneManMonkeySquad/events{/privacy}', 'received_events_url': 'https://api.github.com/users/OneManMonkeySquad/received_events', 'type': 'User', 'site_admin': False}, 'labels': [], 'state': 'closed', 'locked': False, 'assignee': {'login': 'iricigor', 'id': 15923171, 'node_id': 'MDQ6VXNlcjE1OTIzMTcx', 'avatar_url': 'https://avatars.githubusercontent.com/u/15923171?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/iricigor', 'html_url': 'https://github.com/iricigor', 'followers_url': 'https://api.github.com/users/iricigor/followers', 'following_url': 'https://api.github.com/users/iricigor/following{/other_user}', 'gists_url': 'https://api.github.com/users/iricigor/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/iricigor/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/iricigor/subscriptions', 'organizations_url': 'https://api.github.com/users/iricigor/orgs', 'repos_url': 'https://api.github.com/users/iricigor/repos', 'events_url': 'https://api.github.com/users/iricigor/events{/privacy}', 'received_events_url': 'https://api.github.com/users/iricigor/received_events', 'type': 'User', 'site_admin': False}, 'assignees': [{'login': 'iricigor', 'id': 15923171, 'node_id': 'MDQ6VXNlcjE1OTIzMTcx', 'avatar_url': 'https://avatars.githubusercontent.com/u/15923171?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/iricigor', 'html_url': 'https://github.com/iricigor', 'followers_url': 'https://api.github.com/users/iricigor/followers', 'following_url': 'https://api.github.com/users/iricigor/following{/other_user}', 'gists_url': 'https://api.github.com/users/iricigor/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/iricigor/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/iricigor/subscriptions', 'organizations_url': 'https://api.github.com/users/iricigor/orgs', 'repos_url': 'https://api.github.com/users/iricigor/repos', 'events_url': 'https://api.github.com/users/iricigor/events{/privacy}', 'received_events_url': 'https://api.github.com/users/iricigor/received_events', 'type': 'User', 'site_admin': False}], 'milestone': None, 'comments': 3, 'created_at': '2021-08-17T09:16:38Z', 'updated_at': '2021-12-27T10:12:27Z', 'closed_at': '2021-12-27T10:12:27Z', 'author_association': 'NONE', 'active_lock_reason': None, 'body': ""Module was successfully installed with \r\n`Install-GitModule https://git/XX/hotdog`\r\nand its commands are working. When trying to update via\r\n`Update-GitModule https://git/XX/hotdog`\r\nI get the error\r\n> PackageManagement\\Get-Package : No match was found for the specified search criteria and module names 'hotdog'.\r\n> In C:\\Users\\XX\\Documents\\WindowsPowerShell\\Modules\\PowerShellGet\\2.2.1\\PSModule.psm1:9421 Zeichen:9\r\n> PackageManagement\\Get-Package @PSBoundParameters | Microsoft. ...\r\n> ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\r\n> CategoryInfo          : ObjectNotFound: (Microsoft.Power...lets.GetPackage:GetPackage) [Get-Package], Exception\r\n> FullyQualifiedErrorId : NoMatchFound,Microsoft.PowerShell.PackageManagement.Cmdlets.GetPackage\r\n\r\nLooking through PackageManagement\\Get-Package @PSBoundParameters does not include my module (why would it ^^). Am I doing something wrong?\r\n\r\nThe module is internal tooling and not available to the public. https://git is a locally running Gitlab server."", 'reactions': {'url': 'https://api.github.com/repos/iricigor/InstallModuleFromGit/issues/47/reactions', 'total_count': 1, '+1': 1, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/iricigor/InstallModuleFromGit/issues/47/timeline', 'performed_via_github_app': None, 'state_reason': 'completed', 'score': 1.0}]",https://api.github.com/repos/iricigor/InstallModuleFromGit
3,0,False,[],
4,5,False,"[{'url': 'https://api.github.com/repos/benmatselby/donny/issues/32', 'repository_url': 'https://api.github.com/repos/benmatselby/donny', 'labels_url': 'https://api.github.com/repos/benmatselby/donny/issues/32/labels{/name}', 'comments_url': 'https://api.github.com/repos/benmatselby/donny/issues/32/comments', 'events_url': 'https://api.github.com/repos/benmatselby/donny/issues/32/events', 'html_url': 'https://github.com/benmatselby/donny/issues/32', 'id': 901002438, 'node_id': 'MDU6SXNzdWU5MDEwMDI0Mzg=', 'number': 32, 'title': 'Replace benmatselby/go-azuredevops with the microsoft/azure-devops-go-api', 'user': {'login': 'benmatselby', 'id': 178634, 'node_id': 'MDQ6VXNlcjE3ODYzNA==', 'avatar_url': 'https://avatars.githubusercontent.com/u/178634?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/benmatselby', 'html_url': 'https://github.com/benmatselby', 'followers_url': 'https://api.github.com/users/benmatselby/followers', 'following_url': 'https://api.github.com/users/benmatselby/following{/other_user}', 'gists_url': 'https://api.github.com/users/benmatselby/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/benmatselby/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/benmatselby/subscriptions', 'organizations_url': 'https://api.github.com/users/benmatselby/orgs', 'repos_url': 'https://api.github.com/users/benmatselby/repos', 'events_url': 'https://api.github.com/users/benmatselby/events{/privacy}', 'received_events_url': 'https://api.github.com/users/benmatselby/received_events', 'type': 'User', 'site_admin': False}, 'labels': [], 'state': 'closed', 'locked': False, 'assignee': None, 'assignees': [], 'milestone': None, 'comments': 1, 'created_at': '2021-05-25T15:42:51Z', 'updated_at': '2022-07-08T19:56:30Z', 'closed_at': '2022-07-08T19:56:30Z', 'author_association': 'OWNER', 'active_lock_reason': None, 'body': 'I cannot compete with that repo, and may as well use the official one :D', 'reactions': {'url': 'https://api.github.com/repos/benmatselby/donny/issues/32/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/benmatselby/donny/issues/32/timeline', 'performed_via_github_app': None, 'state_reason': 'completed', 'score': 1.0}]",https://api.github.com/repos/benmatselby/donny
5,0,False,[],
6,0,False,[],
7,18,False,"[{'url': 'https://api.github.com/repos/attilammagyar/js80p/issues/24', 'repository_url': 'https://api.github.com/repos/attilammagyar/js80p', 'labels_url': 'https://api.github.com/repos/attilammagyar/js80p/issues/24/labels{/name}', 'comments_url': 'https://api.github.com/repos/attilammagyar/js80p/issues/24/comments', 'events_url': 'https://api.github.com/repos/attilammagyar/js80p/issues/24/events', 'html_url': 'https://github.com/attilammagyar/js80p/issues/24', 'id': 1862188721, 'node_id': 'I_kwDOI6Nc3M5u_r6x', 'number': 24, 'title': 'FST (VST 2.4) plugin: program changes and state (bank) loading sometimes switches to the blank patch', 'user': {'login': 'attilammagyar', 'id': 364311, 'node_id': 'MDQ6VXNlcjM2NDMxMQ==', 'avatar_url': 'https://avatars.githubusercontent.com/u/364311?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/attilammagyar', 'html_url': 'https://github.com/attilammagyar', 'followers_url': 'https://api.github.com/users/attilammagyar/followers', 'following_url': 'https://api.github.com/users/attilammagyar/following{/other_user}', 'gists_url': 'https://api.github.com/users/attilammagyar/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/attilammagyar/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/attilammagyar/subscriptions', 'organizations_url': 'https://api.github.com/users/attilammagyar/orgs', 'repos_url': 'https://api.github.com/users/attilammagyar/repos', 'events_url': 'https://api.github.com/users/attilammagyar/events{/privacy}', 'received_events_url': 'https://api.github.com/users/attilammagyar/received_events', 'type': 'User', 'site_admin': False}, 'labels': [{'id': 5120186380, 'node_id': 'LA_kwDOI6Nc3M8AAAABMS_YDA', 'url': 'https://api.github.com/repos/attilammagyar/js80p/labels/bug', 'name': 'bug', 'color': 'd73a4a', 'default': True, 'description': ""Something isn't working""}], 'state': 'closed', 'locked': False, 'assignee': {'login': 'attilammagyar', 'id': 364311, 'node_id': 'MDQ6VXNlcjM2NDMxMQ==', 'avatar_url': 'https://avatars.githubusercontent.com/u/364311?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/attilammagyar', 'html_url': 'https://github.com/attilammagyar', 'followers_url': 'https://api.github.com/users/attilammagyar/followers', 'following_url': 'https://api.github.com/users/attilammagyar/following{/other_user}', 'gists_url': 'https://api.github.com/users/attilammagyar/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/attilammagyar/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/attilammagyar/subscriptions', 'organizations_url': 'https://api.github.com/users/attilammagyar/orgs', 'repos_url': 'https://api.github.com/users/attilammagyar/repos', 'events_url': 'https://api.github.com/users/attilammagyar/events{/privacy}', 'received_events_url': 'https://api.github.com/users/attilammagyar/received_events', 'type': 'User', 'site_admin': False}, 'assignees': [{'login': 'attilammagyar', 'id': 364311, 'node_id': 'MDQ6VXNlcjM2NDMxMQ==', 'avatar_url': 'https://avatars.githubusercontent.com/u/364311?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/attilammagyar', 'html_url': 'https://github.com/attilammagyar', 'followers_url': 'https://api.github.com/users/attilammagyar/followers', 'following_url': 'https://api.github.com/users/attilammagyar/following{/other_user}', 'gists_url': 'https://api.github.com/users/attilammagyar/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/attilammagyar/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/attilammagyar/subscriptions', 'organizations_url': 'https://api.github.com/users/attilammagyar/orgs', 'repos_url': 'https://api.github.com/users/attilammagyar/repos', 'events_url': 'https://api.github.com/users/attilammagyar/events{/privacy}', 'received_events_url': 'https://api.github.com/users/attilammagyar/received_events', 'type': 'User', 'site_admin': False}], 'milestone': None, 'comments': 8, 'created_at': '2023-08-22T20:49:02Z', 'updated_at': '2023-09-10T20:08:33Z', 'closed_at': '2023-09-10T16:59:32Z', 'author_association': 'OWNER', 'active_lock_reason': None, 'body': ""There's a race between `FstPlugin::handle_program_change()` (audio thread) and `FstPlugin::set_chunk()` (GUI thread), since both can be writing the `Bank` object at the same time.\r\n\r\n(Related: #11 and #21.)"", 'reactions': {'url': 'https://api.github.com/repos/attilammagyar/js80p/issues/24/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/attilammagyar/js80p/issues/24/timeline', 'performed_via_github_app': None, 'state_reason': 'completed', 'score': 1.0}]",https://api.github.com/repos/attilammagyar/js80p
8,18,False,"[{'url': 'https://api.github.com/repos/mikeoliphant/AudioPlugSharp/issues/25', 'repository_url': 'https://api.github.com/repos/mikeoliphant/AudioPlugSharp', 'labels_url': 'https://api.github.com/repos/mikeoliphant/AudioPlugSharp/issues/25/labels{/name}', 'comments_url': 'https://api.github.com/repos/mikeoliphant/AudioPlugSharp/issues/25/comments', 'events_url': 'https://api.github.com/repos/mikeoliphant/AudioPlugSharp/issues/25/events', 'html_url': 'https://github.com/mikeoliphant/AudioPlugSharp/issues/25', 'id': 1719966753, 'node_id': 'I_kwDOEsCQYs5mhJwh', 'number': 25, 'title': 'Rebuild all leads to a missing .vst3 error', 'user': {'login': 'rlalance', 'id': 1323032, 'node_id': 'MDQ6VXNlcjEzMjMwMzI=', 'avatar_url': 'https://avatars.githubusercontent.com/u/1323032?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rlalance', 'html_url': 'https://github.com/rlalance', 'followers_url': 'https://api.github.com/users/rlalance/followers', 'following_url': 'https://api.github.com/users/rlalance/following{/other_user}', 'gists_url': 'https://api.github.com/users/rlalance/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rlalance/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rlalance/subscriptions', 'organizations_url': 'https://api.github.com/users/rlalance/orgs', 'repos_url': 'https://api.github.com/users/rlalance/repos', 'events_url': 'https://api.github.com/users/rlalance/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rlalance/received_events', 'type': 'User', 'site_admin': False}, 'labels': [], 'state': 'closed', 'locked': False, 'assignee': None, 'assignees': [], 'milestone': None, 'comments': 16, 'created_at': '2023-05-22T15:50:51Z', 'updated_at': '2023-05-22T20:50:19Z', 'closed_at': '2023-05-22T20:50:19Z', 'author_association': 'NONE', 'active_lock_reason': None, 'body': '\r\n![image](https://github.com/mikeoliphant/AudioPlugSharp/assets/1323032/e6f33eb0-a5a5-4191-8b01-5fb92d9ab5db)\r\n\r\n', 'reactions': {'url': 'https://api.github.com/repos/mikeoliphant/AudioPlugSharp/issues/25/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/mikeoliphant/AudioPlugSharp/issues/25/timeline', 'performed_via_github_app': None, 'state_reason': 'completed', 'score': 1.0}]",https://api.github.com/repos/mikeoliphant/AudioPlugSharp
9,4,False,"[{'url': 'https://api.github.com/repos/iffyloop/EasyVst/issues/4', 'repository_url': 'https://api.github.com/repos/iffyloop/EasyVst', 'labels_url': 'https://api.github.com/repos/iffyloop/EasyVst/issues/4/labels{/name}', 'comments_url': 'https://api.github.com/repos/iffyloop/EasyVst/issues/4/comments', 'events_url': 'https://api.github.com/repos/iffyloop/EasyVst/issues/4/events', 'html_url': 'https://github.com/iffyloop/EasyVst/issues/4', 'id': 1610306042, 'node_id': 'I_kwDOHfKOvc5f-1H6', 'number': 4, 'title': 'Can this host 2 or more instances of an existing vst3 in a new vst3?', 'user': {'login': 'probonopd', 'id': 2480569, 'node_id': 'MDQ6VXNlcjI0ODA1Njk=', 'avatar_url': 'https://avatars.githubusercontent.com/u/2480569?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/probonopd', 'html_url': 'https://github.com/probonopd', 'followers_url': 'https://api.github.com/users/probonopd/followers', 'following_url': 'https://api.github.com/users/probonopd/following{/other_user}', 'gists_url': 'https://api.github.com/users/probonopd/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/probonopd/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/probonopd/subscriptions', 'organizations_url': 'https://api.github.com/users/probonopd/orgs', 'repos_url': 'https://api.github.com/users/probonopd/repos', 'events_url': 'https://api.github.com/users/probonopd/events{/privacy}', 'received_events_url': 'https://api.github.com/users/probonopd/received_events', 'type': 'User', 'site_admin': False}, 'labels': [], 'state': 'closed', 'locked': False, 'assignee': None, 'assignees': [], 'milestone': None, 'comments': 6, 'created_at': '2023-03-05T18:19:11Z', 'updated_at': '2023-05-25T04:18:46Z', 'closed_at': '2023-05-25T04:18:46Z', 'author_association': 'NONE', 'active_lock_reason': None, 'body': ""Hi, I'd like to [make a vst3 that hosts 2 or more instances of an existing vst3](https://github.com/probonopd/MultiDexed), and plays them simultaneously with a few parameters different between the instances of the vst3.\r\n\r\nAdditionally, what if I'd like to stereo shift (pan) each of the hosted instances?\r\n\r\nWould making such a vst be possible with EasyVst, and how hard would it be? Where would one begin?\r\n\r\nThank you very much."", 'reactions': {'url': 'https://api.github.com/repos/iffyloop/EasyVst/issues/4/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/iffyloop/EasyVst/issues/4/timeline', 'performed_via_github_app': None, 'state_reason': 'completed', 'score': 1.0}]",https://api.github.com/repos/iffyloop/EasyVst
